"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"@aaroadwatch car broke on the inside lane South of Carlow, very difficult to see. Stick to outside lane.",FALSE,0,"aaroadwatch",2019-02-21 19:33:58,FALSE,NA,"1098667160963112963","81816303","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","nailersoneill",0,FALSE,FALSE,NA,NA
"Playlist Thursday February 21st 2019 https://t.co/8Svudtg0su",FALSE,0,NA,2019-02-21 19:28:02,FALSE,NA,"1098665668591869952",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","LiveDrive",0,FALSE,FALSE,NA,NA
"@eIlxn Hi, both crashes have been cleared now, however traffic remains very heavy on the M7 southbound from J7 Kill past J10 Naas South.",FALSE,1,"eIlxn",2019-02-21 19:05:27,FALSE,"1098658188088561664","1098659988334170113","313294709","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","aaroadwatch",0,FALSE,FALSE,NA,NA
"@aaroadwatch How someone would crash in a 60KM zone baffles me <U+0001F644>",FALSE,0,"aaroadwatch",2019-02-21 19:01:57,FALSE,"1098654405153435648","1098659106871746566","81816303","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","PatrickMich",0,FALSE,FALSE,NA,NA
"#KILDARE Collision cleared from N7 southbound. More here: https://t.co/PSzIBsvOzE",FALSE,0,"aaroadwatch",2019-02-21 19:00:14,FALSE,"1098647794775195649","1098658672161509378","81816303","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","aaroadwatch",0,FALSE,FALSE,NA,NA
"#KILDARE Collision cleared from M7 southbound. More here: https://t.co/PSzIBsvOzE",FALSE,1,"aaroadwatch",2019-02-21 18:59:44,FALSE,"1098647961796526082","1098658546349195265","81816303","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","aaroadwatch",0,FALSE,FALSE,NA,NA
"@aaroadwatch Excruciating <U+0001F616>",FALSE,0,"aaroadwatch",2019-02-21 18:59:24,FALSE,"1098654405153435648","1098658464237346818","81816303","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Lacey79",0,FALSE,FALSE,NA,NA
"@c_oreilly Hi there, we can't see anything, was it at the junction or after near Glasnevin?",FALSE,0,"c_oreilly",2019-02-21 18:51:00,FALSE,"1098655654493999105","1098656351713144832","43340960","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","LiveDrive",0,FALSE,FALSE,NA,NA
"@livedrive Possible incident at Hart's Corner outbound",FALSE,1,"LiveDrive",2019-02-21 18:48:14,FALSE,NA,"1098655654493999105","14920301","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","c_oreilly",0,FALSE,FALSE,NA,NA
"@Wall3gurl Just as well you know those back roads!",FALSE,0,"Wall3gurl",2019-02-21 18:47:41,FALSE,"1098654028337172481","1098655514257473537","53507420","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","LiveDrive",0,FALSE,FALSE,NA,NA
