text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
@aaroadwatch any idea if traffic is just being metered through the port tunnel or is it closed because of an accident?,FALSE,0,NA,04/04/2019 07:57,FALSE,NA,1.11E+18,NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>",BestofCork,0,FALSE,FALSE,NA,NA
M50: Collision on the M50 northbound before J10 Ballymount in the hard shoulder,FALSE,0,aaroadwatch,04/04/2019 07:52,FALSE,1.11E+18,1.11E+18,81816303,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",nettegeoghegan,0,FALSE,FALSE,NA,NA
#CORK Reports of a breakdown on N25. More here: https://t.co/pdsEzJTRQr,FALSE,0,aaroadwatch,04/04/2019 07:51,FALSE,1.11E+18,1.11E+18,81816303,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",MiseNico,0,FALSE,FALSE,NA,NA
#CORK Breakdown on N40 eastbound. More here: https://t.co/pdsEzJTRQr,FALSE,1,MiseNico,04/04/2019 07:48,FALSE,1.11E+18,1.11E+18,29410884,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",aaroadwatch,0,FALSE,FALSE,NA,NA
"M50 southbound is slow from J4 Ballymun to J7 Lucan, it moves well from there to J9 Red Cow where it slows once mor… https://t.co/iiweYC06yF",FALSE,0,aaroadwatch,04/04/2019 07:46,FALSE,NA,1.11E+18,81816303,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",MiseNico,0,FALSE,FALSE,NA,NA
Reports of #RTC on #M2 citybound just after on slip at #Templepatrick long delays. #Traffic more on @coolfm… https://t.co/zrJyVyZbk5,FALSE,0,aaroadwatch,04/04/2019 07:37,FALSE,1.11E+18,1.11E+18,81816303,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",aaroadwatch,0,FALSE,FALSE,NA,NA
#DUBLIN Crash on N4 eastbound. More here: https://t.co/ipFDM8svNY,FALSE,1,aaroadwatch,04/04/2019 07:36,FALSE,1.11E+18,1.11E+18,81816303,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",aaroadwatch,0,FALSE,FALSE,NA,NA
N4: Collision on the N4 inbound after J3 Lucan partially blocking the bus lane,FALSE,0,DaithiButler,04/04/2019 07:34,FALSE,1.11E+18,1.11E+18,377283584,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",aaroadwatch,0,FALSE,FALSE,NA,NA
"@melloneyroche Thanks for the tweet, we'll keep an eye on traffic in the area.",FALSE,5,NA,04/04/2019 07:31,TRUE,NA,1.11E+18,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",LiveDrive,6,FALSE,FALSE,NA,NA
#MEATH Reports of crash on M3 southbound. More here: https://t.co/ipFDM8svNY,FALSE,0,NA,04/04/2019 07:24,FALSE,NA,1.11E+18,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",LiveDrive,0,FALSE,FALSE,NA,NA
